date,value
2015-07-22,1494.1319
2015-07-29,1495.233
2015-08-05,1505.4533
2015-08-12,1510.3477
2015-08-19,1518.1914
2015-08-26,1517.3312
2015-09-02,1517.5185
2015-09-09,1522.9062
2015-09-16,1518.1766
2015-09-23,1520.8893
2015-09-30,1525.6557
2015-10-07,1531.6062
2015-10-14,1539.355
2015-10-21,1538.9589
2015-10-28,1542.7234
2015-11-04,1546.8588
2015-11-11,1548.6887
2015-11-18,1555.7203
2015-11-25,1554.8941
2015-12-02,1553.0552
2015-12-09,1559.7902
2015-12-16,1565.9096
2015-12-23,1568.5143
2015-12-30,1566.6878
2016-01-06,1559.9946
2016-01-13,1556.6634
2016-01-20,1553.4264
2016-01-27,1557.4059
2016-02-03,1564.6339
2016-02-10,1565.8782
2016-02-17,1559.824
2016-02-24,1566.1302
2016-03-02,1561.6557
2016-03-09,1565.0739
2016-03-16,1567.8881
2016-03-23,1574.2332
2016-03-30,1571.7728
2016-04-06,1577.8785
2016-04-13,1584.7717
2016-04-20,1585.8898
2016-04-27,1587.9632
2016-05-04,1593.1927
2016-05-11,1594.8091
2016-05-18,1591.228
2016-05-25,1596.5598
2016-06-01,1599.6254
2016-06-08,1597.8218
2016-06-15,1594.5429
2016-06-22,1598.1587
2016-06-29,1599.6193
2016-07-06,1605.6449
2016-07-13,1609.9837
2016-07-20,1613.5208
2016-07-27,1620.0559
2016-08-03,1621.2419
2016-08-10,1631.2248
2016-08-17,1629.356
2016-08-24,1633.9816
2016-08-31,1642.8037
2016-09-07,1645.0073
2016-09-14,1650.1064
2016-09-21,1648.3996
2016-09-28,1649.9852
2016-10-05,1659.6568
2016-10-12,1664.671
2016-10-19,1670.2806
2016-10-26,1672.0623
2016-11-02,1676.7662
2016-11-09,1671.4749
2016-11-16,1672.5406
2016-11-23,1671.1397
2016-11-30,1672.0639
2016-12-07,1661.0835
2016-12-14,1675.2103
2016-12-21,1674.0494
2016-12-28,1675.549
2017-01-04,1680.712
2017-01-11,1679.8316
2017-01-18,1681.2726
2017-01-25,1690.1291
2017-02-01,1688.0211
2017-02-08,1693.1487
2017-02-15,1696.7376
2017-02-22,1699.2894
2017-03-01,1701.4931
2017-03-08,1699.5208
2017-03-15,1706.218
2017-03-22,1706.2821
2017-03-29,1701.5541
2017-04-05,1705.7315
2017-04-12,1707.4033
2017-04-19,1707.2666
2017-04-26,1705.4547
2017-05-03,1707.8685
2017-05-10,1717.6823
2017-05-17,1732.2967
2017-05-24,1734.2504
2017-05-31,1731.7406
2017-06-07,1732.2982
2017-06-14,1744.5185
2017-06-21,1738.9487
2017-06-28,1743.4259
2017-07-05,1745.148
2017-07-12,1751.3053
2017-07-19,1757.7861
2017-07-26,1761.4249
2017-08-02,1766.3096
2017-08-09,1766.2806
2017-08-16,1766.5215
2017-08-23,1768.1094
2017-08-30,1762.8923
2017-09-06,1764.592
2017-09-13,1767.6668
2017-09-20,1782.0672
2017-09-27,1784.1087
2017-10-04,1783.375
2017-10-11,1788.3347
2017-10-18,1787.0738
2017-10-25,1793.2723
2017-11-01,1791.426
2017-11-08,1789.5763
2017-11-15,1787.2092
2017-11-22,1787.6479
2017-11-29,1810.8516
2017-12-06,1818.0336
2017-12-13,1815.3194
2017-12-20,1819.6111
2017-12-27,1819.7257
2018-01-03,1817.8094
2018-01-10,1812.1248
2018-01-17,1806.2582
2018-01-24,1802.5958
2018-01-31,1798.3665
2018-02-07,1790.0108
2018-02-14,1794.8157
2018-02-21,1794.8908
2018-02-28,1799.6886
2018-03-07,1791.2123
2018-03-14,1797.5618
2018-03-21,1792.7447
2018-03-28,1793.1753
2018-04-04,1794.535
2018-04-11,1794.3399
2018-04-18,1796.4185
2018-04-25,1794.8628
2018-05-02,1792.2575
2018-05-09,1796.7062
2018-05-16,1803.0177
2018-05-23,1808.8444
2018-05-30,1810.302
2018-06-06,1808.9753
2018-06-13,1818.9779
2018-06-20,1825.0502
2018-06-27,1831.1485
2018-07-04,1827.4957
2018-07-11,1833.0973
2018-07-18,1831.3595
2018-07-25,1830.7388
2018-08-01,1825.7658
2018-08-08,1830.8664
2018-08-15,1835.5381
2018-08-22,1833.2089
2018-08-29,1827.656
2018-09-05,1822.4982
2018-09-12,1829.2083
2018-09-19,1827.821
2018-09-26,1829.5712
2018-10-03,1825.3581
2018-10-10,1827.7574
2018-10-17,1828.0988
2018-10-24,1833.844
2018-10-31,1821.295
2018-11-07,1815.5561
2018-11-14,1832.5649
2018-11-21,1843.9378
2018-11-28,1845.5143
2018-12-05,1850.4072
2018-12-12,1864.7874
2018-12-19,1879.7049
2018-12-26,1881.3947
2019-01-02,1893.6659
2019-01-09,1892.1962
2019-01-16,1913.5409
2019-01-23,1906.5175
2019-01-30,1906.4116
2019-02-06,1906.5807
2019-02-13,1922.0569
2019-02-20,1921.7087
2019-02-27,1922.0105
2019-03-06,1923.1485
2019-03-13,1928.4885
2019-03-20,1926.7952
2019-03-27,1927.1787
2019-04-03,1932.2622
2019-04-10,1948.0979
2019-04-17,1953.9305
2019-04-24,1964.6611
2019-05-01,1960.0326
2019-05-08,1960.995
2019-05-15,1963.9659
2019-05-22,1965.9003
2019-05-29,1963.8816
2019-06-05,1975.7747
2019-06-12,1981.1738
2019-06-19,1997.7707
2019-06-26,2001.0198
2019-07-03,2004.6249
2019-07-10,2007.5955
2019-07-17,1996.0151
2019-07-24,2006.4015
2019-07-31,2008.8347
2019-08-07,2000.6994
2019-08-14,2015.6759
2019-08-21,2012.76
2019-08-28,2029.5696
2019-09-04,2026.7258
2019-09-11,2044.2686
2019-09-18,2044.8356
2019-09-25,2052.5786
2019-10-02,2059.562
2019-10-09,2061.9316
2019-10-16,2064.5372
2019-10-23,2071.5295
2019-10-30,2064.5405
2019-11-06,2072.5487
2019-11-13,2088.6041
2019-11-20,2087.728
2019-11-27,2085.8842
2019-12-04,2091.5318
2019-12-11,2102.9352
2019-12-18,2067.259
2019-12-25,2074.9603
2020-01-01,2068.3653
2020-01-08,2066.8913
2020-01-15,2098.0799
2020-01-22,2107.3794
2020-01-29,2114.194
2020-02-05,2121.1803
2020-02-12,2109.155
2020-02-19,2107.7213
2020-02-26,2110.2788
2020-03-04,2123.2371
2020-03-11,2136.0734
2020-03-18,2155.6245
2020-03-25,2192.7172
2020-04-01,2211.7713
2020-04-08,2204.2592
2020-04-15,2206.6997
2020-04-22,2224.9146
2020-04-29,2229.4986
2020-05-06,2232.6965
2020-05-13,2205.3204
2020-05-20,2206.9703
2020-05-27,2215.1905
2020-06-03,2224.1231
2020-06-10,2223.1359
2020-06-17,2225.03
2020-06-24,2229.2879
2020-07-01,2236.3575
2020-07-08,2229.7305
2020-07-15,2266.7245
2020-07-22,2284.4562
2020-07-29,2295.6296
2020-08-05,2330.9668
2020-08-12,2320.0819
2020-08-19,2341.9624
2020-08-26,2345.312
2020-09-02,2357.1595
2020-09-09,2340.4979
2020-09-16,2326.5045
2020-09-23,2331.7562
2020-09-30,2346.7845
2020-10-07,2361.1613
2020-10-14,2382.6599
2020-10-21,2394.7012
2020-10-28,2419.114
2020-11-04,2454.7972
2020-11-11,2454.4777
2020-11-18,2473.5795
2020-11-25,2487.6139
2020-12-02,2510.94
2020-12-09,2505.5524
2020-12-16,2515.6535
2020-12-23,2529.9954
2020-12-30,2543.7737
2021-01-06,2567.4151
2021-01-13,2565.9528
2021-01-20,2573.5085
2021-01-27,2591.0708
2021-02-03,2610.8877
2021-02-10,2620.4649
2021-02-17,2640.6307
2021-02-24,2649.7441
2021-03-03,2668.5897
2021-03-10,2671.0569
2021-03-17,2678.6633
2021-03-24,2687.912
2021-03-31,2693.9787
2021-04-07,2693.5271
2021-04-14,2724.5318
2021-04-21,2733.8292
2021-04-28,2748.0381
2021-05-05,2769.2976
2021-05-12,2770.7668
2021-05-19,2785.0796
2021-05-26,2789.4947
2021-06-02,2802.3299
2021-06-09,2798.885
2021-06-16,2803.5853
2021-06-23,2812.8708
2021-06-30,2823.6288
2021-07-07,2835.5595
2021-07-14,2836.4517
2021-07-21,2835.719
2021-07-28,2842.5234
2021-08-04,2853.1981
2021-08-11,2859.8392
2021-08-18,2877.4572
2021-08-25,2877.5339
2021-09-01,2890.6607
2021-09-08,2876.0339
2021-09-15,2890.6563
2021-09-22,2893.7306
2021-09-29,2896.705
2021-10-06,2912.6454
2021-10-13,2911.339
2021-10-20,2915.8742
2021-10-27,2916.3001
2021-11-03,2917.1964
2021-11-10,2909.9454
2021-11-17,2901.1808
2021-11-24,2903.6331
2021-12-01,2907.5643
2021-12-08,2900.9164
2021-12-15,2919.1346
2021-12-22,2930.5319
2021-12-29,2924.5759
2022-01-05,2978.5934
2022-01-12,2966.0312
2022-01-19,2968.6729
2022-01-26,2974.1447
2022-02-02,2978.4887
2022-02-09,2982.1554
2022-02-16,2987.4357
2022-02-23,2995.9226
2022-03-02,2981.6494
2022-03-09,2972.4122
2022-03-16,2960.7236
2022-03-23,2956.6408
2022-03-30,2948.436
2022-04-06,2949.0932
2022-04-13,2947.1056
2022-04-20,2928.653
2022-04-27,2926.6401
2022-05-04,2903.6417
2022-05-11,2912.4561
2022-05-18,2908.0509
2022-05-25,2905.5277
2022-06-01,2897.1043
2022-06-08,2898.2179
2022-06-15,2888.6405
2022-06-22,2887.9061
2022-06-29,2889.0069
2022-07-06,2893.3317
2022-07-13,2891.213
2022-07-20,2888.5977
2022-07-27,2903.5158
2022-08-03,2901.0324
2022-08-10,2907.6243
2022-08-17,2904.5562
2022-08-24,2895.3287
2022-08-31,2874.9894
2022-09-07,2869.0172
2022-09-14,2868.9105
2022-09-21,2859.5161
2022-09-28,2839.9592
2022-10-05,2814.5798
2022-10-12,2808.3932
2022-10-19,2794.2948
2022-10-26,2792.5021
2022-11-02,2765.4666
2022-11-09,2768.4144
2022-11-16,2767.1347
2022-11-23,2770.4236
2022-11-30,2765.4575
